link, likes, dislikes, level, accepted, submissions, acceptance_rate
https://leetcode.com/problems/detonate-the-maximum-bombs, 271, 36, Medium, 7218, 18376, 0.39
https://leetcode.com/problems/sequentially-ordinal-rank-tracker, 100, 23, Hard, 3205, 5309, 0.6
https://leetcode.com/problems/rings-and-rods, 251, 8, Easy, 20645, 25276, 0.82
https://leetcode.com/problems/sum-of-subarray-ranges, 372, 13, Medium, 13068, 22411, 0.58
https://leetcode.com/problems/watering-plants-ii, 94, 104, Medium, 9406, 18355, 0.51
https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps, 223, 13, Hard, 5504, 15803, 0.35
https://leetcode.com/problems/find-first-palindromic-string-in-the-array, 228, 9, Easy, 28703, 35405, 0.81
https://leetcode.com/problems/adding-spaces-to-a-string, 202, 20, Medium, 18178, 32660, 0.56
https://leetcode.com/problems/number-of-smooth-descent-periods-of-a-stock, 271, 9, Medium, 15366, 28277, 0.54
https://leetcode.com/problems/minimum-operations-to-make-the-array-k-increasing, 425, 7, Hard, 7602, 21342, 0.36
https://leetcode.com/problems/maximum-number-of-words-found-in-sentences, 301, 11, Easy, 34779, 38934, 0.89
https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies, 355, 29, Medium, 9724, 28629, 0.34
https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid, 312, 13, Medium, 5671, 18196, 0.31
https://leetcode.com/problems/abbreviating-the-product-of-a-range, 47, 82, Hard, 1655, 5865, 0.28
https://leetcode.com/problems/a-number-after-a-double-reversal, 167, 13, Easy, 20723, 26797, 0.77
https://leetcode.com/problems/execution-of-all-suffix-instructions-staying-in-a-grid, 193, 19, Medium, 12398, 14996, 0.83
https://leetcode.com/problems/intervals-between-identical-elements, 411, 18, Medium, 9611, 23194, 0.41
https://leetcode.com/problems/recover-the-original-array, 195, 25, Hard, 5709, 15198, 0.38
https://leetcode.com/problems/check-if-all-as-appears-before-all-bs, 203, 2, Easy, 21776, 29688, 0.73
https://leetcode.com/problems/number-of-laser-beams-in-a-bank, 222, 14, Medium, 18109, 21768, 0.83
https://leetcode.com/problems/destroying-asteroids, 167, 89, Medium, 15967, 33368, 0.48
https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting, 393, 4, Hard, 3904, 13531, 0.29
https://leetcode.com/problems/capitalize-the-title, 190, 22, Easy, 17256, 29289, 0.59
https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list, 268, 14, Medium, 16991, 20438, 0.83
https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words, 312, 7, Medium, 10609, 28497, 0.37
https://leetcode.com/problems/stamping-the-grid, 178, 16, Hard, 2775, 10385, 0.27
https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers, 217, 13, Easy, 19996, 38479, 0.52
https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii, 446, 5, Medium, 11096, 23924, 0.46
https://leetcode.com/problems/count-words-obtained-after-adding-a-letter, 256, 52, Medium, 9451, 27473, 0.34
https://leetcode.com/problems/earliest-possible-day-of-full-bloom, 190, 10, Hard, 5796, 8611, 0.67
https://leetcode.com/problems/divide-a-string-into-groups-of-size-k, 184, 9, Easy, 20254, 30798, 0.66
https://leetcode.com/problems/minimum-moves-to-reach-target-score, 342, 4, Medium, 17827, 36894, 0.48
https://leetcode.com/problems/solving-questions-with-brainpower, 439, 7, Medium, 14994, 34771, 0.43
https://leetcode.com/problems/maximum-running-time-of-n-computers, 376, 8, Hard, 6736, 18406, 0.37
https://leetcode.com/problems/minimum-cost-of-buying-candies-with-discount, 145, 7, Easy, 16189, 26937, 0.6
https://leetcode.com/problems/count-the-hidden-sequences, 305, 38, Medium, 9843, 28678, 0.34
https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range, 191, 94, Medium, 6792, 17155, 0.4
https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor, 135, 11, Hard, 5143, 13154, 0.39
https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements, 166, 6, Easy, 20545, 33881, 0.61
https://leetcode.com/problems/rearrange-array-elements-by-sign, 216, 12, Medium, 19670, 23969, 0.82
https://leetcode.com/problems/find-all-lonely-numbers-in-the-array, 145, 23, Medium, 18603, 30995, 0.6
https://leetcode.com/problems/maximum-good-people-based-on-statements, 253, 61, Hard, 7007, 15758, 0.44
https://leetcode.com/problems/keep-multiplying-found-values-by-two, 146, 3, Easy, 21938, 29896, 0.73
https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array, 250, 6, Medium, 16030, 26401, 0.61
https://leetcode.com/problems/find-substring-with-given-hash-value, 248, 318, Medium, 7035, 37213, 0.19
https://leetcode.com/problems/groups-of-strings, 185, 26, Hard, 3918, 17006, 0.23
https://leetcode.com/problems/n-queens-ii, 1509, 208, Hard, 206993, 316986, 0.65
https://leetcode.com/problems/fraction-to-recurring-decimal, 1471, 2789, Medium, 174936, 749666, 0.23
https://leetcode.com/problems/excel-sheet-column-title, 2407, 384, Easy, 296142, 886754, 0.33
https://leetcode.com/problems/integer-to-english-words, 1923, 4693, Hard, 285390, 971556, 0.29
